SNO,SENDER_MAIL,CATEGORY,STATUS,SUBJECT,CONTENT
11,support@paisabazaar.com,I,R,Your Dec'20 Credit Score moved by 5 points. Know why  ?  ,"Your,
Your Dec'20 Credit Score from cibil has decreased by 5 point. Get insights on your latest credit report with Paisabazaar, here  !  
Your credit report consists of the following information:
Your complete credit & financial history
How you’ve managed debt 
How much you’ve borrowed
Repayments track record
Credit inquiries on your account if any.
To sum it all, it gives lenders an idea of how creditworthy you are. 
How to build your Credit Score during Covid times  ?  
If you do not wish to receive any mails from paisabazaar.com, click Unsubscribe"
12,newsletters@shabd-kosh.in,I,R,LPG Cylinder Prices to be Revised Every Week From 2021.,"LPG Cylinder Prices to be revised every week from 2021
New Delhi: Indian Oil companies are reportedly planning to change the prices of LPG Cylinders on a weekly basis from next year as against the current practice of monthly revision of prices."
13,noreply-ambitionbox@naukri.com,I,R,Need your advice,"AmbitionBox AmbitionBox
Share your interview advice and questions.
Hi , Here’s your chance to be a hero to someone.
We invite you to share your interview advice on AmbitionBox.
Write Interview Advice
Sharing interview questions will help job seekers prepare better.
Let’s together help someone achieve their dream.
Team AmbitionBox
(Part of Naukri.com)
AmbitionBox AmbitionBox
Helping over 2 million job seekers every month in choosing their right fit company.
Discover Companies | Reviews | Salaries | Interviews | Salary Calculator | Blog
You are receiving this email because you have registered on naukri.com . All reviews and ratings are provided by the employees of the respective companies. AmbitionBox shall not have any responsibility in this regard. We recommend that you visit our Terms & Conditions for more comprehensive information."
14,technews@techgig.com,I,R,AICTE offers free online course on full-stack development with 6-month internship | IIT Kharagpur launches free online course on IoT,"Daily Newsletter
Sunday, 20th December 2020 
AICTE offers free online course on full-stack development with 6-month internship
IIT Kharagpur launches free online course on IoT
5 Best Python frameworks for 2021 to enhance coding experience
4 Most common mistakes that kill AI projects
10 Things you didn't know about Oracle Java 15
IIT Kanpur launches 3 master's degree programs in cybersecurity
5 Out-of-box Virtual Assistants you must know about in 2021
IIT Madras bags 'The Most Innovative Institute of the Year' Award
See more news >>  
2020 TechGig | Terms of Use | Contact Us
TechGig.com (Times Center), FC - 6, Sector 16 A, Film City, Noida - 201301, Uttar Pradesh, India
Spread the word about TechGig App Available on"
15,technews@techgig.com,I,R,Register now for the DevJam Hands-on challenge,"Hi , Ready, player one  !   It’s time to put your knowledge to the test with a series of 3 DevJam Hands-on challenges, a gamified learning experience. Play online with other developers, practitioners and peers to complete a series of cloud-based tasks using Google Cloud Platform.
Register now
You will be playing online in a sandbox environment to earn points and compete against your peeRs.  Follow our game leaderboard to see your performance and progress recognized  !  
Mega Prize
Highest scorer from all 3 challenges will be awarded 1 Google Nest Mini, INR 5,000 Flipkart voucher, 1 Cloud DevJam goodie box and 30 % discount voucher on Google Cloud Associate Cloud Engineering certification.
Prizes for each game
50 winners from each challenge will be selected automatically via a points scoring system. The 50 participants with the highest numbers of points from each game will be determined as the winneRs. 
Winners from each challenge
First top 3 scorers get Google Nest Hub
Next top 7 scorers get Google Nest Mini
Next top 40 scorers get a Cloud DevJam goodie box
Top 50 scorers are entitled to get a 30 % discount voucher on Google Cloud Associate Cloud Engineering certification
All players
All players will receive 50 % discount voucher for the first month on Google Cloud specialization courses on Coursera
All players get a Qwiklabs digital badge for playing the game
The challenge has limited seats for the participants, and spots will be granted on a first come, first served basis. Register early to secure your place in this one-of-a-kind competition.
Register now"
16,no-reply@sgp.flipkart.com,I,R,Best Budget Buys for Everyone  !  ,"Hi , Ready, player one  !   It’s time to put your knowledge to the test with a series of 3 DevJam Hands-on challenges, a gamified learning experience. Play online with other developers, practitioners and peers to complete a series of cloud-based tasks using Google Cloud Platform.
Register now
You will be playing online in a sandbox environment to earn points and compete against your peeRs.  Follow our game leaderboard to see your performance and progress recognized  !  
Mega Prize
Highest scorer from all 3 challenges will be awarded 1 Google Nest Mini, INR 5,000 Flipkart voucher, 1 Cloud DevJam goodie box and 30 % discount voucher on Google Cloud Associate Cloud Engineering certification.
Prizes for each game
50 winners from each challenge will be selected automatically via a points scoring system. The 50 participants with the highest numbers of points from each game will be determined as the winneRs. 
Winners from each challenge
First top 3 scorers get Google Nest Hub
Next top 7 scorers get Google Nest Mini
Next top 40 scorers get a Cloud DevJam goodie box
Top 50 scorers are entitled to get a 30 % discount voucher on Google Cloud Associate Cloud Engineering certification
All players
All players will receive 50 % discount voucher for the first month on Google Cloud specialization courses on Coursera
All players get a Qwiklabs digital badge for playing the game
The challenge has limited seats for the participants, and spots will be granted on a first come, first served basis. Register early to secure your place in this one-of-a-kind competition.
Register now"
17,reminders@training.shawacademy.com,I,R,10 valuable web design skills for Web Designers,"Shaw Academy
Blog Update:
10 web design skills to turn you into a terrific designer
“In an era defined by the rapid emergence of digital technology, the creation, development and maintenance of user-friendly websites has indeed turned into a challenging task. The traditional, compartmentalized modes of designing professional and competent sites are simply not applicable anymore. Instead, a new demand for full-stack designers with the capability of crafting dynamic, innovative and sophisticated websites has slowly begun to gain significant traction…”
To read the rest of the blog written by our educator, check out the blog below.
Web Design Blog
Here is a list of the top web designer skills, developing which can easily help you land an attractive web design job within no time.
Diploma in Web Design
Master real-world coding and learn how to build amazing websites as a certified web designer.
 View Our Course Catalogue 
Take your classroom with you. Download the app today."
18,jobs@naukri.com,I,R,Job | Job Opening for Revenue Officer - South Delhi,"The sender of this email is registered with Naukri.com as SASTASUNDAR HEALTHBUDDY LIMITED company. To respond back directly to the Employer, please click on Reply button, or send an email to jobs@sastasundar.com
Do Not forward this email, it contains links which allow direct login to your Naukri account.
Abhishek Nandy
Company Recruiter
SASTASUNDAR HEALTHBUDDY LIMITED
Other
Follow my job updates 
Job Opening for Revenue Officer - South Delhi
Annual Salary of the Job: 0.00 - 3.80 Lacs
Job Location: New Delhi
Apply Now    Reply
Dear, Greetings...
We have an urgent opening for Revenue Officer with the experience of team leading in sales & marketing.
Job Responsibilities - 
Target oriented   !   ( Daily briefing session with team regarding Daily Targets etc.), Lead the team on ground level , Maintaining and increasing sales for Franchise as per area assigned.
Counseling and disciplining employees. Communicating the job expectations.
Enforcing policies and procedures. Planning , monitoring and reviewing the sales and marketing performance and actions accordingly.
Reaching the targets and goals set for your area. Maintaining and expanding your customer base. Increasing the KYCs + orders through market + Apps downloads for your area.
Servicing the needs of your existing customeRs. 
Increasing business opportunities through various routes to market :- Tie-ups with Corporate / RWA societies / Schools / LIC offices / Banks etc.
XYZ
Sr. Executive – HR"
19,jobs@naukri.com,I,R,Mechanical Engineer,"Vodafone
Greeting of the day  !    !    !    !    !    !    !  
www.groupace.co.in
Note: 1)open The Website and Online Apply Next Week Interview Schedule:www.groupace.co.in
Dear candidate,
We are pleased to inform you that, your resume is shortlisted to attend first round of interview.
1.Technical Round
2.HR Round
3.Salary Interview Depend
4.Good Communication Skill
5.Face To Face Interview
Company: Vodafone India
India.
HR XYZ
1234567890"
20,notification@jio.com,I,R,Plan Rs199- 1m- 1.5GB/Day expired for Jio Number 7974422728,"Dear Customer,
Your plan Rs199- 1m- 1.5GB/Day for Jio Number 1234567890 has expired on 16-Dec-20 23:28 HRs.  You will continue to enjoy Jio services as Rs199- 1m- 1.5GB/Day plan is already active.
To view your current and upcoming plan details, click www.jio.com/my_plans
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.
Thank you,
Team Jio"
21,jobs@naukri.com,I,R,"Job | MIS support for Legal Team, Acuity Knowledge Partners Gurgaon","The sender of this email is registered with Naukri.com as Acuity Knowledge Services (India) Private Limited company. To respond back directly to the Employer, please click on Reply button, or send an email to zarah.pervez@acuitykp.com
Do Not forward this email, it contains links which allow direct login to your Naukri account.
 Zarah Pervez
Company Recruiter
Acuity Knowledge Services (Ind...
Gurgaon
Follow my job updates 
Job Location: Gurgaon/Gurugram
Apply Now    Reply
Dear ,
About Acuity Knowledge Partners
Acuity Knowledge Partners, formerly part of Moody’s Corporation, is a leading provider of bespoke research, analytics, staffing and technology solutions to the financial services sector.
Headquartered in London, Acuity Knowledge Partners has nearly two decades of transformation experience in servicing over 300 clients with a specialist workforce of over 2,500 analysts and delivery experts across its global delivery network.
We provide our clients with unique assistance not only to innovate, implement transformation programmes and increase operational efficiency, but also to manage costs and improve their top lines
Opportunity 
Paralegal support to Acuity legal team w.r.t. maintaining folders, documents, agreements (including data extraction) and organizing files, maintaining a legal library and more.
Maintaining and filing corporate records, including resolutions, board of director changes, annual reports, etc.
Coordinating and receiving board and committee signatures for documents and materials.
Organizing legal correspondence and other documents for legal team.
Organizing and maintaining documents in a paper or electronic filing system.
Directing and coordinating law office activity, including signatures, couriers, scanning as and when required.
Gathering and analyzing statutes, decisions, and legal articles, codes, documents and other data.
Qualifications/ Required Background
Bachelors Degree Commerce background preferred
2-5 years of experience including working on MIS
Excellence at using MS Excel is highly desirable
Experience in handling data maintenance / repository independently
Strong problem solving abilities and analytical thinking skills
Reasonable communication skills
You are receiving this e-mail because your profile contained one or more of the following words that the recruiter searched on: "" ""paralegal support"" "", "" ""vendor contracts"" "", "" ""mis"" "", "" ""mis reporting"" """
22,newsletter@em.geekmailz.com,I,R,Property purchased need not be disclosed in income tax return,"Property purchased need not be disclosed in income tax return
As the last date for filing income tax returns draws nearer, there are numerous queries of taxpayeRs.  One such query is whether it’s a good idea to declare a recent purchase of property in the Income Tax Return (ITR). Firstly, for those living under a rock, taxpayers who are yet to file their ITR for the financial year 2019-20 (the assessment year 2020-21), will have to do it by December 31, 2020. Financial Year (FY), the period between 1 April and 31 March, is the year in which one earns an income whereas assessment year (AY) is the year that comes after the FY. During AY, the income earned between FY is assessed and taxed. So, FY 2019-20 and AY 2020-21 are the same. The I-T department earlier extended the due date for filing the ITR, to give relief to taxpayers because of the coronavirus pandemic. Individual taxpayers have until the end of this year to file their return of income, earned between April 1, 2019, and March 31, 2020, instead of November 30. Normally, the due date for filing ITRs for all assessees whose accounts are not required to be audited is July 31."
23,Shoewalaindia@gmail.com,I,U,Complete your Purchase,"SHOEWALA.IN
You left an item in your cart
Hi, you added an item to your shopping cart and haven't completed your purchase. You can complete it now while it's still available.
Items in your cart
or Visit our store
Complete your purchase
 Shoewala™️ On Air Shoe × 1
10"
24,noreply@quora.com,I,U,Updates to our Terms of Service and Privacy Policy,"Quora
Hello,
Quora is growing around the world and we are continuing to add features and services. In doing so, we are updating our Terms of Service and Privacy Policy to reflect these and other changes. Some key changes include additions about Quora’s Spaces product, more details about email digests, and more options about connecting with your contacts on Quora. These updated terms will go into effect on January 8, 2021, and your continued use of the service after that time constitutes acceptance. We encourage you to read both updated documents.
Thank you for being a part of Quora.
Sincerely,
The Quora Team,
This email was sent by Quora (605 Castro Street, Mountain View, CA 94041).
You are receiving this email because you are registered on Quora.com with this email address, and this is a necessary legal or administrative message to our useRs. 
https://www.quora.com/"
25,kotak811@kotak.in,I,U,Your wait for #DreamDifferent Credit Card is over.,"If you are unable to view the below e-mailer, please click here
811 Kotak
Presenting the all new 811 #DreamDifferent Credit Card  !  
GET IT NOW 811 Kotak
To get the card, simply:
1. Submit your request for the card
2. Complete your Full KYC
3. Add money in your account to process your request
With the Dream Different Credit Card, enjoy a host of benefits  !  
No joining or annual fee
2x Reward Points on online spends*
Rs.  750/- on annual spends of Rs.  75,000
48 days of no interest charged on credit period
What's more  ?   Earn an assured interest rate on your FD*
To avail an 811 #DreamDifferent Credit Card, submit your request now  !   GET IT NOW"
26,jobs@naukri.com,I,U,Job | MIS Executive | Pristyn Care | Gurgaon,"Dear,
Responsibilities:
Preparing MIS reports on daily, weekly and monthly basis.
Cooperate closely with business units.
Where necessary, carry out additional research based on the requirements.
Candidate must have understanding of operational process, logical thinking
Ability to work on data and generate various types of reports/ad-hoc reports
Ability to handle high level data analysis and data
Requirements:
Strong knowledge in MS Office.
Advanced Knowledge of MS Excel
Strong technical skills: data processing and mining tools, pivot table"
27,technews@techgig.com,I,U,IIT Guwahati launches free online course on Advanced Computer Architecture | Top 5 programming language that AI developers must learn,"Daily Newsletter
Sunday, 13th December 2020 
IIT Guwahati launches free online course on Advanced Computer Architecture
Top 5 programming language that AI developers must learn
Deep Learning vs Machine Learning : 3 major differences
3 Major advantages of GraalVM that make it a perfect modern-age enhancement to Java
Wipro to roll out salary hike to employees from January 1
Top Analytics & AI Disasters in 2020
Solve for India  !   Participate in ZS PRIZE now and win upto 1 crore prize money
IIT Bombay offers free online course on C++ programming via NPTEL"
28,technews@techgig.com,I,U,Google Cloud Webinar On Hybrid Architecture With Anthos III,"LIVE WEBINAR DECEMBER 10, 2020 05:00 PM 
Hosted by: Reju Pillai - Customer Engineer, Google Cloud
Hybrid Architecture With Anthos III
SAVE MY SPOT
Hi, We would like to invite you to a FREE Webinar session on the topic Hybrid Architecture with Anthos III
About Webinar: In this session we'll understand how telemetry is used to gather data on the performance of applications deployed to Anthos, specifically underst...more
Yes  !   Save My Spot Now
During this FREE Webinar, our expert(s) will discuss:
Identify the metrics and events to collect (Signals) for observability
Describe where Stackdriver and Prometheus fits into the monitoring of Anthos components mix
Understand how policies are applied in a consistent way in a multi-cloud 
Speaker Details: 
Reju Pillai
Customer Engineer, Google Cloud
Book Your Seat 
Warm Regards,
Team TechGig"
29,jobs@naukri.com,I,U,Last-minute travelling need not to be expensive.,"Head Out
couchpotato
Dear Travellers,
Take a road trip to these fun destinations only with FabHotels. We provide you with 100 % Safety, flexible cancellation policies, fabulous offers and complete peace of mind  !  
Book Now  !  
Check Out Top Destinations
musssorie  goa  udaipur
coorg  jaipur  lonavala
dehradun  manali  pondicherry
EXPLORE MORE on Appstore    twitter  insta  facebook  linkedin
"
30,no-reply@zoomin.com,I,U,2021 Photo Calendars starting at just Rs. 149  !  ,"Check out our employee's favourite Calendars and what they are printing for New Year 2021.
The gift of time is the greatest gift they say. Do you know how to make the new 365 days count  ?   By taking one day at a time with Beautiful Photo CalendaRs. 
Beaded with positivity, happiness & serenity these Calendars are your happy buddies ready to take you on a happy ride, every day. Many styles & many themes to choose from. Cherish colorful touches of everything you love in detailed designs. Isn't that the right way to start your New Year  ?  
SHOP NOW
YOUR CALENDAR. YOUR PICTURES. YOUR THEMES. IN YOUR STYLE.
We asked our employees which Calendar are they printing. Here is what they said.
6x8 Desktop Calendar
6x8"" DESKTOP CALENDAR
Theme: Happy Days
""2020 made me stay with my family in Chennai and it has been a memorable time since then. We celebrated birthdays & all events together. Staying in a joint family is a party every day & I am only flaunting fam pics in my New Year's Calendar. I have already ordered the Desktop Calendar in Happy Days Theme.""  - Mithali
SHOP NOW
12x18 Poster Calendar
12x18"" POSTER CALENDAR
Theme: Our Champ
""I have spent a lot of time with my son this year & the memories are very dear to me. I want to cherish his pictures all year and I have picked this colorful baby theme - Our Champ""  - Siraj
SHOP NOW
 Magnet Calendar
6x8"" MAGNET CALENDAR
Theme: My Support System
""Being a Working Mom, a Magnet Calendar is the best addition to my kitchen. It gives me an energetic vibe by seeing photos + keeping a note of all dates, makes my WFH routine more fun. I choose the My Support System Theme.""  - Anju
SHOP NOW
Portrait Wall Calendar
PORTRAIT WALL CALENDAR
Theme: Fruitiful
""This year I have probably aced the skill of taking all angle selfies, cooking good meals & also photographing them. Planning to print my cooking achievements & moments of self-love. I so much love the Wall-mount Calendar because it's pages can be reused as individual prints. I can plan my year + create my photo gallery with a single product. So I am choosing a theme which looks yummy: Fruitful Theme.""  - Sangita
SHOP NOW
Landscape Wall Calendar
LANDSCAPE WALL CALENDAR
Theme: Hearts XO
SHOP NOW
4.5x10 Desktop Calendar
DESKTOP LANDSCAPE CALENDAR
Theme: My Parther In Crime
SHOP NOW"
31,no-reply@zoomin.com,I,U,2021 Calendars for the memories you want to cherish  !  ,"365 days of happiness a few clicks away  !   25 % off on new 2021 Photo CalendaRs.  Use Code ""NEWCAL"" to avail the offer. Hurry offer valid for a limited period.
LET THE GOOD TIMES ROLL CALENDARS AT 25 % OFF USE CODE ""NEWCAL""
Calendars have always been like that goodie of the new year which brings the joy of Diwali sweets. We all quickly turn pages through the entire year in a go searching for holidays & each month's picture. Throughout history, we have been receiving rolls of Calendars which are simple yet brings happiness. 
But the most exciting story of the New Year's Calendar is its pictures. A lot of times we have passed the entire year looking at boring pictures like a bubble that goes ignored. While at times we were lucky to get treated with scenic views. 
Not this year  !  
Say bye to traditional boring calendars and head on to a Personalized Calendar-ing experience. With our themed Photo Calendars, you are a step away from being happy every day. 
How about seeing your favorite pictures in the story of each month  ?   With themes, various styles & usability these calendars are all you need. From noting down birthdays, anniversaries, bill payments, bookings to using pictures as individual prints for home decor, our calendars are multi-purposed. Designed for Indian homes.
Bring home joy & gift everyone a keepsake they will admire year-round.  Know everything about Calendar styles, themes & print ideas here.
SHOP NOW
GET THE APP:
Shop on Android, iOS, STAY IN TOUCH"
32,no-reply@zoomin.com,I,U,20 % Off + Best Photo Project Ideas Inside  !  ,"Tons of pictures in your camera roll are waiting to get a beautiful makeover  !   Grab exclusive offers  and make your own Photo Project now  !  
STOREWIDE 20 % OFF 
CODE ""20YAY""
PRINT YOUR PHOTOS IN MEANINGFUL WAYS
PHOTO PROJECTS FOR YOUR MANY CAPTURES
PHOTOBOOK- STARTING AT Rs.  299
COLLAGE POSTER - STARTING AT Rs.  149
SQUARE PRINTS - STARTING AT Rs.  199
NOTEBOOKS - STARTING AT Rs.  399
PREMIUM FRAMES STARTING AT Rs.  1299
CALENDARS - STARTING AT Rs.  299
SHOP NOW
We are always on the lookout for inspiring photo creations and we feel the happiest when our customers share their Zoomin Print Projects on social using #zoominstories.
So when you make us happy, we will make you extra happy by giving out 500 Zoomin reward points  !   
SHARE PROJECT"
33,jobs@naukri.com,I,S,Job | Walk - In Interviews for US Staffing for Night Shifts in Gurgaon,"Dear ,
Hi, Hope You are doing great  !   I came across your resume online and found it impressive. I have an excellent opportunity for you, please find job description and company web link below.
Website Link: https://irionline.com/
About US: Integrated Resources, Inc., is led by a seasoned team with combined decades in the industry. We deliver strategic workforce solutions that help you manage your talent and business more efficiently and effectively. Since launching in 1996, IRI has attracted, assembled and retained key employees who are experts in their fields. This has helped us expand into new sectors and steadily grow.
Walk-In Interview
Date : 17th November 2019, Sunday
Timings: 11:00 AM To 4:00 PM
Venue Details:
Unit No- 016, Ground floor, Bestech Business Tower
Sohna Road, Gurgaon
Haryana- 122001
Designation : Hiring US IT/ Engg/Pharma/Clinical/Non IT/ Healthcare Recruiter
Location: Ahmedabad/Pune/Gurgaon/Baroda
Shift Timings : 4:30 PM to 4:30 AM (IST)
Hiring Info : We welcome all as mentioned below
Any Fresher Graduate
BPO/KPO background with good communication skills.
Candidates with 6+ Month of recruitment(US/UK/ Domestic)
Candidates with 1 to 5 Years of experience in US Staffing.
Roles and Responsibilities-
End to End Life Cycle of recruitment from requirement to on boarding of candidates.
Sourcing the candidate from various sources like Portals, Database, references etc.
Evaluation of the candidate for the requirements on the basis of Skills, functionality, domain, experience, qualifications
Build & sustain the network of potential candidates.
Negotiate compensation, extend offers, facilitate the placement of candidates and solicit referrals of other qualified consultants
Submit qualified candidates to open job requirements
Meet or exceed weekly goal expectations
Would be responsible for effective usage of Internal Systems/Database for recording different stages in recruitment process.
Above all that mentioned in the job description we are looking for someone with good communication skills & a committed team player.
Other Benefits
Pick up and Drop Facility
Medical Insurance
Monthly Incentives
Retention Bonus
If in case you are not available or interested, please feel free to refer your friend or colleague who might be interested for the same.
Contact us for any Queries :
Veronica Joseph: 9999238117
Vaishnavi Srivastava: 9999238965
Thanks and Regards"
34,jobs@naukri.com,I,S,"Interview Call Associates / Sr. Associates - Freshers to 2 Years Exp - Job @ Nerdy Turtlez, Noida - Academically Strong in Your Subjects","Nerdy Turtlez (a brand of Absas Solutions Pvt Ltd)
Greetings from Team HR at Nerdy Turtlez  !  
We like your profile & invite you to Walk-in for Interview with us for Associate and Senior Associate Role for various departments in our company.
We are a 10 year old company working towards providing Academic Writing Service to Overseas Students. We are looking for Freshers as well as Experienced Candidates who are very strong in their academic knowledge to work in our Writing, Allocation, Rework and Escalation Processes.
Salary Range - Rs.  17,000 to Rs.  23,000 per month
Dates - 8th July 2019 to 11th July 2019 between 10:00 AM to 4 PM.
Our Address:
Nerdy Turtlez
B-30 Sector-5, Noida | Uttar Pradesh 201301
Navigation Link: https://goo.gl/maps/zjFMFDRLLYx
Nearest Metro Station: Sector 15 Noida
To help us coordinate this meeting effectively, we request you to confirm to us your availability for this meeting by reverting on the same mail.
We look forward to meeting you.
Our Phone Numbers: 0120-4136883 and 7290067299
About Us
Nerdy Turtlez started its operations in 2009 and since then it has become one of the successful companies in Academic Solutions Industry.
We specialize in providing homework assistance to individuals across the globe in every subject. We also provide a subscription to our question bank at a very nominal cost. Moreover, we motivate students to learn and explore things by providing incentives to students and professionals who answer question in our Database. We have also started an Internship program in universities based in US to promote learning and help students earn some money by using their knowledge.
Regards"
